Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13759,"Conrad's Fate (Chrestomanci, #5)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0060747455""","=""9780060747459""",0,4.08,Greenwillow Books,Paperback,400,2006,2005,,2022/05/20,to-read,to-read (#19),to-read,,,,0,0
47525,"The Magicians of Caprona (Chrestomanci, #4)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""0060298782""","=""9780060298784""",0,3.93,Greenwillow Books,Hardcover,288,2001,1980,,2022/05/20,to-read,to-read (#18),to-read,,,,0,0
23492661,Maybe in Another Life,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",0,3.81,Washington Square Press,Paperback,342,2015,2015,,2022/05/15,to-read,to-read (#17),to-read,,,,0,0
25614492,Salt to the Sea,Ruta Sepetys,"Sepetys, Ruta",,"=""""","=""""",0,4.36,Philomel Books,Hardcover,391,2016,2016,,2022/05/15,to-read,to-read (#16),to-read,,,,0,0
42201995,The Stationery Shop,Marjan Kamali,"Kamali, Marjan",,"=""1982107480""","=""9781982107482""",0,4.22,Gallery Books,Hardcover,312,2019,2019,,2022/05/15,to-read,to-read (#15),to-read,,,,0,0
35604686,The Astonishing Color of After,Emily X.R. Pan,"Pan, Emily X.R.",,"=""""","=""""",0,4.07,"Little, Brown Books for Young Readers",Hardcover,462,2018,2018,,2022/05/15,to-read,to-read (#14),to-read,,,,0,0
53205888,Under the Whispering Door,T.J. Klune,"Klune, T.J.",,"=""1250217342""","=""9781250217349""",5,4.18,Tor Books,Hardcover,384,2021,2021,2022/05/15,2022/05/13,,,read,I didn't mean to finish this book so fast but somehow I did. The story and the characters really got me in the feels. ,,,1,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",4,4.38,Atria Books,Hardcover,337,2014,2012,2022/05/13,2022/05/02,,,read,,,,1,0
45047384,The House in the Cerulean Sea,T.J. Klune,"Klune, T.J.",,"=""""","=""""",5,4.43,Tor Books,Kindle Edition,394,2020,2020,2022/05/01,2022/04/30,"cozy-fantasy, my-book-nook","cozy-fantasy (#1), my-book-nook (#6)",read,,,,1,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.32,Scribner,Hardcover,531,2014,2014,,2022/05/01,to-read,to-read (#13),to-read,,,,0,0
